LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
5.240520e-03,-1.607464e-02,-1.868965e-03,1.560256e-02,8.677490e-01,-7.617016e+00,5.267430e+00,6.065217e+00,4.235500e-03,-7.328370e-03,-3.213781e-02,1.163171e-03,2.283193e+01,1.453479e+00,5.271842e+01,3.783401e+01
1.251162e-02,-1.282490e-02,-7.392054e-03,2.245709e-02,6.213165e-01,-6.819286e+00,5.518787e+00,5.201884e+00,1.081808e-01,3.052328e-01,2.068563e-02,-7.253508e-02,1.253171e+01,-5.890407e+00,5.437948e+01,3.055567e+01
8.860104e-03,-1.670666e-02,-4.565605e-03,2.055848e-02,2.439649e-01,-6.819286e+00,5.289317e+00,4.753831e+00,-4.771969e-03,1.117793e-01,-1.251043e-01,-1.080707e-01,5.399444e+00,-9.682528e+00,5.770172e+01,2.506965e+01
6.389620e-03,-2.209504e-02,-2.366995e-03,2.116623e-02,1.166868e+00,-6.119877e+00,4.688227e+00,5.420467e+00,7.774619e-02,6.598250e-02,-1.777357e-01,1.235925e-02,2.552906e+00,-4.808491e+00,5.806234e+01,1.844706e+01
8.239180e-03,-2.025547e-02,-5.675260e-03,2.228608e-02,-6.828163e-02,-6.546043e+00,4.327608e+00,4.229231e+00,1.615791e-02,9.438619e-03,-6.522260e-02,-1.275174e-03,-6.483921e-01,-1.814099e+00,5.624818e+01,1.225070e+01
8.262935e-03,-2.392829e-02,-6.650211e-03,2.486902e-02,1.026488e+00,-5.507843e+00,4.163684e+00,4.852150e+00,1.704869e-02,1.989989e-02,2.644917e-02,1.333675e-02,-4.450570e+00,-3.759348e+00,5.565809e+01,8.786365e+00
9.002051e-03,-2.640467e-02,-1.538133e-02,2.779021e-02,2.711858e-01,-5.376751e+00,4.152741e+00,3.846781e+00,3.444280e-02,9.210453e-05,5.784939e-02,5.358087e-02,-3.878816e+00,-4.699171e+00,5.127577e+01,9.125155e+00
8.620090e-03,-2.508301e-02,-2.206893e-02,2.665965e-02,1.258493e+00,-4.065307e+00,2.852298e+00,4.196457e+00,5.586666e-03,-1.185550e-02,-2.146689e-02,1.024374e-02,-7.210208e-01,-2.699319e+00,4.677330e+01,1.070978e+01
1.523814e-02,-2.110979e-02,-2.122287e-02,3.191669e-02,5.779217e-01,-4.141855e+00,2.360529e+00,3.442388e+00,2.746168e-03,-2.701827e-02,-1.029828e-01,-1.005357e-03,-9.738181e-01,-1.038200e+00,4.399749e+01,8.830082e+00
1.485613e-02,-2.250752e-02,-1.567470e-02,3.220170e-02,3.593976e-01,-2.972505e+00,1.672005e+00,2.404245e+00,-2.317881e-05,-5.740694e-02,-1.359184e-01,6.752950e-03,-3.685669e+00,1.529969e+00,4.101398e+01,3.497048e+00
2.267615e-02,-1.340961e-02,-1.637759e-02,3.548580e-02,3.965625e-01,-2.950618e+00,1.595516e+00,2.437019e+00,5.203504e-03,-7.889746e-02,-1.397613e-01,2.463153e-02,-4.584922e+00,6.480496e+00,3.618366e+01,-1.431592e+00
2.307073e-02,-1.125372e-02,-2.114079e-02,3.465239e-02,9.974979e-01,-1.355102e+00,9.725959e-01,2.098229e+00,1.073490e-02,-1.226923e-01,-7.589444e-02,6.912134e-02,-5.471504e+00,8.392972e+00,3.165936e+01,-4.502474e+00
2.023119e-02,-1.015233e-02,-1.903028e-02,3.039079e-02,9.353722e-01,-9.507662e-01,9.398227e-01,1.748553e+00,1.689555e-02,-1.172547e-01,4.051340e-02,9.698386e-02,-1.392650e+00,1.074256e+01,2.294948e+01,-2.874128e+00
1.955306e-02,-1.063200e-02,-1.223112e-02,2.966944e-02,1.188852e+00,5.245429e-01,9.725959e-01,1.049143e+00,1.593875e-02,-4.566134e-02,-2.640477e-03,4.743402e-02,-5.485843e-01,7.704449e+00,1.735415e+01,-1.355102e+00
1.945418e-02,-1.380200e-02,-7.857351e-03,3.156224e-02,1.234208e+00,9.835394e-01,-1.966964e-01,8.305596e-01,8.612750e-03,-5.603369e-02,-1.822245e-02,4.155852e-02,-3.884540e-01,6.644420e+00,1.291728e+01,-1.486253e+00
2.775007e-02,-8.593387e-03,-1.395036e-02,3.826096e-02,1.953900e+00,2.316812e+00,-1.300442e+00,8.305596e-01,1.737752e-03,-5.923866e-02,1.149942e-02,4.134142e-02,-7.041672e-01,5.114450e+00,7.966749e+00,-2.010795e+00
3.678120e-02,-6.466259e-03,-2.224004e-02,4.803382e-02,2.347801e+00,3.966988e+00,-2.032682e+00,2.076399e-01,-4.240052e-03,-1.905235e-02,1.916626e-02,1.407696e-02,-3.779230e-01,3.726575e+00,4.699171e+00,-1.529969e+00
2.474428e-02,-7.195764e-03,-1.741627e-02,3.379195e-02,2.786563e+00,5.245601e+00,-3.355012e+00,-8.743336e-02,5.655461e-03,2.075247e-02,5.583097e-02,1.123267e-02,-4.159546e-01,1.748667e-01,3.551708e+00,1.311500e-01
2.241147e-02,-8.516501e-03,-7.167207e-03,3.149830e-02,3.417735e+00,6.666249e+00,-3.912328e+00,-2.731863e-01,-1.194048e-04,3.205939e-02,6.790951e-02,1.000017e-03,1.064463e+00,-2.644659e+00,3.234805e+00,3.311295e+00
2.336482e-02,-9.683668e-03,-1.598082e-02,3.378522e-02,3.306419e+00,7.256396e+00,-3.398728e+00,-8.305596e-01,-1.900837e-03,2.000461e-02,-3.179121e-02,-1.428808e-02,1.859897e+00,-3.191088e+00,4.425984e+00,4.764717e+00
3.661439e-02,-1.098646e-02,1.641220e-02,4.948365e-02,3.046905e+00,7.726336e+00,-4.043478e+00,-1.442536e+00,-3.889400e-03,4.085903e-02,-5.255314e-02,-3.182648e-02,1.662565e+00,-1.781326e+00,6.535099e+00,4.196457e+00
4.970988e-02,2.941317e-02,4.861229e-02,3.631626e-02,2.315857e+00,5.420410e+00,-1.956193e+00,-8.305596e-01,-7.499723e-03,4.329585e-02,-3.713085e-02,-3.385450e-02,1.062647e+00,-4.371095e-01,9.890111e+00,3.453331e+00
9.098608e-03,-8.491212e-03,6.042733e-02,1.254096e-02,1.699138e+00,2.644659e+00,9.617097e-01,2.076399e-01,-2.328924e-03,2.917451e-02,-5.109087e-02,-2.272960e-02,1.437798e+00,1.661119e+00,1.182442e+01,3.147372e+00
-9.483049e-03,-3.551257e-02,4.619505e-02,9.129093e-03,7.914425e-01,-4.371095e-01,8.852198e-01,1.223952e+00,4.584853e-03,2.113354e-02,-4.429262e-02,-8.652719e-03,1.104263e+00,3.103655e+00,1.496084e+01,2.622772e+00
-5.276780e-03,-3.132082e-02,3.711917e-02,1.175364e-02,-3.780066e-01,-2.655602e+00,1.529969e+00,1.300442e+00,3.266735e-05,2.025996e-03,-4.086750e-02,-2.645163e-03,8.676414e-01,4.327608e+00,1.541984e+01,1.792269e+00
-1.563947e-02,-5.231923e-02,2.407914e-02,1.413182e-02,-1.656415e+00,-4.895867e+00,8.852198e-01,1.311386e+00,-4.134919e-05,-2.060018e-02,-3.219196e-02,1.126560e-02,4.698387e-01,5.387637e+00,1.547450e+01,7.868429e-01
-5.414311e-03,-5.304894e-02,3.300696e-02,2.673735e-02,-3.705301e+00,-7.474979e+00,6.994096e-01,6.010327e-01,5.363800e-03,-2.229944e-02,-7.788719e-03,2.346793e-02,4.194900e-01,5.475070e+00,1.489530e+01,5.682595e-01
1.009095e-02,-1.931662e-02,3.999752e-02,2.224682e-02,-7.683488e+00,-1.062229e+01,3.606196e-01,-2.054512e+00,9.680581e-03,-3.162076e-02,1.125938e-02,3.721605e-02,4.486476e-01,3.846781e+00,1.264403e+01,1.005426e+00
2.131957e-02,-2.604900e-03,2.860026e-02,2.490155e-02,-1.032643e+01,-1.266592e+01,3.060168e-01,-3.857668e+00,7.695220e-03,-3.773437e-02,5.465757e-03,3.712132e-02,6.328538e-01,3.136428e+00,9.922884e+00,1.049143e+00
3.981878e-02,4.327233e-03,8.035524e-02,4.096779e-02,-1.236294e+01,-1.403197e+01,-1.202065e-01,-5.376751e+00,1.244719e-02,-3.496299e-02,-6.923591e-03,3.881538e-02,1.214282e+00,2.447962e+00,7.398489e+00,1.573686e+00
5.365199e-02,4.884121e-02,1.878177e-01,2.441678e-02,-1.510487e+01,-2.116815e+01,8.633328e-01,-3.846781e+00,1.115458e-02,-2.731460e-02,-4.850100e-03,3.392635e-02,5.783001e-01,1.923362e+00,6.097990e+00,8.633328e-01
8.186400e-02,9.128129e-02,1.978662e-01,3.040537e-02,-1.952601e+01,-3.071948e+01,2.273095e+00,-2.710205e+00,1.914390e-04,-3.287155e-02,-1.443370e-02,2.249207e-02,-3.777980e-02,1.136519e+00,4.775661e+00,3.060168e-01
5.617812e-02,5.333663e-02,1.514289e-01,2.747103e-02,-2.815199e+01,-3.972448e+01,3.628198e+00,-7.037870e+00,3.792316e-03,-3.973240e-02,-2.610190e-02,2.789381e-02,3.701339e-01,1.431592e+00,3.387785e+00,3.497334e-01
8.300293e-03,2.643825e-02,1.248132e-01,-1.070561e-02,-3.672715e+01,-4.419418e+01,1.846872e+00,-1.433798e+01,4.793014e-03,-3.199633e-02,-2.430700e-02,2.545893e-02,-3.211646e-01,1.529969e+00,1.628289e+00,-8.305596e-01
-1.369996e-02,4.152597e-02,1.202884e-01,-4.681254e-02,-4.764016e+01,-4.741810e+01,-3.158315e+00,-2.528818e+01,4.149189e-03,-3.153776e-02,-1.215453e-02,2.685441e-02,-5.389086e-01,1.486253e+00,7.649560e-01,-1.223952e+00
